"Player ID","Player","Team","Position",SACKS,FUMBLED_FORCED,INTERCEPTIONS,TACKLES,SAFETIES,"Fantasy Points"
"25","Tampa Bay Buccaneers","TB","DEF","44.1","20.9","15.1","875.4","0.5","223.90"
"1","Buffalo Bills","BUF","DEF","44.6","18.6","16.3","850.6","0.2","218.50"
"30","San Francisco 49ers","SF","DEF","46.0","19.4","13.0","885.9","0.4","215.20"
"16","Dallas Cowboys","DAL","DEF","40.9","18.6","15.0","849.9","0.1","208.60"
"29","New Orleans Saints","NO","DEF","44.1","17.3","14.2","863.4","0.4","205.70"
"2","Indianapolis Colts","IND","DEF","38.6","19.7","14.5","862.4","0.2","205.10"
"10","Pittsburgh Steelers","PIT","DEF","45.9","17.3","13.5","865.6","0.1","204.00"
"3","Miami Dolphins","MIA","DEF","42.3","18.0","13.7","843.1","0.2","203.60"
"14","Los Angeles Chargers","LAC","DEF","42.2","18.4","13.5","875.8","0.2","203.20"
"23","Green Bay Packers","GB","DEF","42.4","17.4","15.4","848.5","0.1","202.80"
** Sign in to download all of the projections