"Player ID","Player","Team","Position",FIELD_GOALS_ATTEMPTED,FIELD_GOALS_MADE,EXTRA_POINTS_ATTEMPTED,EXTRA_POINTS_MADE,"Fantasy Points"
"301","Justin Tucker","BAL","K","30.1","29.4","46.5","45.9","134.10"
"2088","Tyler Bass","BUF","K","28.3","27.2","51.9","51.4","133.00"
"1690","Matt Gay","LAR","K","29.1","28.2","48.6","47.9","132.50"
"2453","Evan McPherson","CIN","K","29.5","28.4","46.7","46.1","131.30"
"111","Ryan Succop","TB","K","28.1","26.9","49.9","49.3","130.00"
"1313","Daniel Carlson","LV","K","28.9","28.2","44.3","43.2","127.80"
"1126","Harrison Butker","KC","K","27.0","26.3","48.1","47.5","126.40"
"400","Dustin Hopkins","LAC","K","27.1","26.1","48.7","47.7","126.00"
"542","Brandon McManus","DEN","K","27.4","26.2","47.4","46.3","124.90"
"2017","Rodrigo Blankenship","IND","K","28.7","27.6","42.4","42.0","124.80"
** Sign in to download all of the projections