"Player ID","Player","Team","Position",PASSING_YARDS,PASSING_TOUCHDOWNS,PASSING_INTERCEPTIONS,RUSHING_YARDS,RUSHING_TOUCHDOWNS,"Fantasy Points"
"1205","Josh Allen","BUF","QB","4381.9","33.3","13.7","657.9","6.2","381.37"
"1209","Lamar Jackson","BAL","QB","3637.5","23.7","13.5","990.5","5.1","346.55"
"945","Patrick Mahomes","KC","QB","4706.2","34.5","11.8","344.8","2.4","345.23"
"1884","Justin Herbert","LAC","QB","4672.9","33.5","13.0","283.7","3.3","337.39"
"1888","Jalen Hurts","PHI","QB","3683.1","23.3","12.2","733.6","7.7","335.38"
"1517","Kyler Murray","ARI","QB","4239.1","25.9","12.5","521.6","5.8","331.52"
"36","Tom Brady","TB","QB","4775.4","35.1","12.3","45.3","1.6","313.15"
"231","Russell Wilson","DEN","QB","4208.8","30.1","10.1","309.3","2.3","309.08"
"1882","Joe Burrow","CIN","QB","4565.0","32.1","12.6","162.4","2.0","307.44"
"52","Aaron Rodgers","GB","QB","4105.4","32.8","6.4","124.8","2.1","302.60"
** Sign in to download all of the projections