"Player ID","Player","Team","Position",RUSHING_YARDS,RUSHING_TOUCHDOWNS,RECEPTIONS,RECEIVING_YARDS,RECEIVING_TOUCHDOWNS,"Fantasy Points"
"1907","Jonathan Taylor","IND","RB","1589.0","14.6","43.5","369.9","2.6","290.99"
"729","Derrick Henry","TEN","RB","1514.5","12.4","29.7","234.1","1.6","250.76"
"954","Christian McCaffrey","CAR","RB","1000.0","7.1","87.2","727.8","3.8","231.88"
"1148","Austin Ekeler","LAC","RB","925.8","8.4","71.9","640.1","4.9","230.39"
"952","Dalvin Cook","MIN","RB","1244.8","9.9","47.0","367.4","1.6","222.72"
"955","Joe Mixon","CIN","RB","1177.4","9.9","45.5","332.7","2.6","219.11"
"2339","Najee Harris","PIT","RB","1147.3","7.8","63.0","424.1","2.5","211.44"
"956","Alvin Kamara","NO","RB","899.5","7.1","60.7","543.6","3.3","200.71"
"1221","Nick Chubb","CLE","RB","1248.5","8.6","25.7","206.6","1.4","199.51"
"967","James Conner","ARI","RB","935.4","10.3","43.3","349.7","2.2","197.21"
** Sign in to download all of the projections