"Player ID","Player","Team","Position",TARGETS,RECEPTIONS,RECEIVING_YARDS,RECEIVING_TOUCHDOWNS,"Fantasy Points"
"341","Travis Kelce","KC","TE","146.3","95.9","1144.5","7.5","158.08"
"1268","Mark Andrews","BAL","TE","128.1","85.3","1076.3","8.5","156.53"
"2414","Kyle Pitts","ATL","TE","128.1","76.9","1039.5","5.1","132.15"
"637","Darren Waller","LV","TE","121.0","75.2","922.7","4.8","118.97"
"1088","George Kittle","SF","TE","95.0","67.9","871.4","4.6","113.16"
"1362","Dalton Schultz","DAL","TE","101.7","73.6","736.5","6.4","110.55"
"1271","Dallas Goedert","PHI","TE","94.5","62.8","794.0","5.4","110.00"
"1596","Dawson Knox","BUF","TE","79.1","51.7","619.3","7.1","103.63"
"1591","T.J. Hockenson","DET","TE","97.6","67.8","690.0","5.4","99.60"
"342","Zach Ertz","ARI","TE","95.5","64.1","663.6","4.9","94.26"
** Sign in to download all of the projections