"Player","Team","SACK","INT","FR","FF","TD","SAFETY","PA","YDS_AGN","FPTS"
"Tampa Bay Buccaneers","","44.8","14.4","11.8","19.1","2.9","0.6","366.2","5,539.1","115.5"
"Pittsburgh Steelers","","49.2","14.3","10.3","15.4","2.5","0.2","392.9","5,847.0","113.6"
"Buffalo Bills","","42.9","16.3","10.0","15.3","2.8","0.6","331.9","5,292.4","113.3"
"Green Bay Packers","","43.2","16.5","9.6","14.1","2.8","0.2","354.4","5,595.2","112.8"
"Dallas Cowboys","","40.0","16.5","10.4","16.1","3.0","0.3","373.8","5,839.7","112.1"
"Los Angeles Rams","","43.4","14.5","10.1","13.3","2.8","0.5","366.8","5,680.1","110.6"
"New Orleans Saints","","44.3","15.1","9.9","14.0","2.6","0.2","341.5","5,595.0","110.1"
"Miami Dolphins","","44.4","14.6","9.8","16.4","2.6","0.6","374.6","5,694.3","109.9"
"Los Angeles Chargers","","42.5","13.9","10.8","17.5","2.7","0.6","395.5","5,860.3","109.3"
"San Francisco 49ers","","44.6","13.6","10.5","16.9","2.5","0.2","360.2","5,522.7","108.6"
"Indianapolis Colts","","36.1","15.2","11.3","17.9","2.7","0.9","364.6","5,717.3","107.2"
"Minnesota Vikings","","42.5","14.1","9.3","13.9","2.8","0.2","389.1","5,878.2","106.3"
"New England Patriots","","40.3","14.9","9.4","13.1","2.5","0.5","370.0","5,719.2","105.3"
"Cleveland Browns","","42.7","14.4","8.9","13.5","2.5","0.5","369.8","5,591.6","105.2"
"Kansas City Chiefs","","37.8","14.2","10.4","18.0","2.8","0.5","389.9","6,019.4","104.9"
"Arizona Cardinals","","39.5","13.6","11.3","18.9","2.4","0.6","391.2","5,854.2","104.6"
"Denver Broncos","","40.4","13.8","9.0","13.7","2.6","0.2","384.0","5,851.0","101.8"
"Washington Commanders","","39.7","13.2","10.0","15.7","2.5","0.2","389.4","5,863.0","101.8"
"Cincinnati Bengals","","39.7","14.5","8.9","14.6","2.3","0.6","374.9","5,907.1","101.6"
"Baltimore Ravens","","38.5","13.6","9.5","14.9","2.6","0.6","358.3","5,765.0","101.4"
"Philadelphia Eagles","","41.1","12.8","8.8","13.4","2.7","0.5","373.9","5,735.9","101.3"
"Chicago Bears","","41.4","12.4","10.0","16.0","2.3","0.5","401.9","5,830.1","101.3"
"Tennessee Titans","","40.3","13.7","8.9","13.4","2.5","0.2","362.2","5,818.4","100.7"
"Carolina Panthers","","39.6","12.8","10.0","13.8","2.4","0.2","408.0","5,628.6","100.1"
"New York Giants","","38.8","12.9","9.2","13.1","2.2","0.5","403.1","5,786.8","97.6"
"Jacksonville Jaguars","","39.0","11.8","8.4","11.1","2.2","0.5","427.6","6,108.1","93.9"
"Seattle Seahawks","","37.0","12.7","8.7","11.9","2.2","0.6","395.4","5,994.7","93.9"
"Houston Texans","","35.3","12.5","9.5","14.9","2.3","0.2","433.3","6,374.1","93.7"
"New York Jets","","36.3","12.3","9.2","15.2","2.3","0.2","433.8","6,223.8","93.4"
"Las Vegas Raiders","","36.5","11.8","9.4","14.2","2.2","0.5","418.6","5,796.0","93.2"
"Detroit Lions","","35.6","12.2","9.0","13.2","2.2","0.5","439.4","6,248.3","92.5"
"Atlanta Falcons","","31.1","12.8","8.9","12.7","2.1","0.2","435.0","6,129.6","87.7"
""
""